doc_id,item,category,amount,price,discount
604A53256F,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,24
5CFB750F6F,Полотенце Венера 60*60,Текстиль,3,300,25
5CFB750F6F,Кастрюля 5л Tefal,Посуда,2,3000,25
5CFB750F6F,Полотенце Венера 60*60,Текстиль,2,300,22
3BE2FEC039,Сковорода 25см Tefal,Посуда,1,2000,24
3BE2FEC039,Постельное белье 2-х сп. Венера,Текстиль,3,3000,16
8B049B30DB,Кастрюля 5л Tefal,Посуда,3,3000,22
8B049B30DB,Полотенце Венера 80*120,Текстиль,2,500,22
415ADEDD2E,Миксер MP-30 Bosh,Посуда,1,2000,18
415ADEDD2E,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,8
415ADEDD2E,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,6
283FDA7178,AOS 1л,Бытовая химия,1,100,15
283FDA7178,AOS 0.5л,Бытовая химия,1,50,23
DC3B9EE334,AOS 1л,Бытовая химия,2,100,10
DC3B9EE334,AOS 1л,Бытовая химия,2,100,4
0C0395B2B4,Полотенце Венера 80*120,Текстиль,2,500,19
0C0395B2B4,Стиральный порошок БИОС 3кг,Бытовая химия,2,300,8
CCD3D80261,Сковорода 25см Tefal,Посуда,1,2000,4
CCD3D80261,Постельное белье 2-х сп. Венера,Текстиль,1,3000,25
77765ADC4D,Полотенце Венера 80*120,Текстиль,3,500,19
77765ADC4D,Постельное белье 1.5 сп. Венера,Текстиль,3,2500,1
77765ADC4D,Кастрюля 5л Tefal,Посуда,1,3000,11
51DBD022F0,AOS 1л,Бытовая химия,2,100,24
51DBD022F0,Полотенце Венера 80*120,Текстиль,2,500,17
51DBD022F0,Йогурница ML-5 Bosh,Посуда,1,4000,15
31E59C8617,AOS 0.5л,Бытовая химия,3,50,20
31E59C8617,Йогурница ML-5 Bosh,Посуда,2,4000,6
919E4443B5,AOS 0.5л,Бытовая химия,1,50,10
919E4443B5,Полотенце Венера 60*60,Текстиль,1,300,16
919E4443B5,Кастрюля 5л Tefal,Посуда,3,3000,7
0EF4D636B0,AOS 1л,Бытовая химия,2,100,18
0EF4D636B0,AOS 0.5л,Бытовая химия,3,50,14
0EF4D636B0,Кастрюля 3л Tefal,Посуда,1,2500,19
B499AA349F,Постельное белье 2-х сп. Венера,Текстиль,1,3000,16
B499AA349F,Йогурница ML-5 Bosh,Посуда,2,4000,10
