doc_id,item,category,amount,price,discount
46E79FAF1F,Постельное белье 2-х сп. Венера,Текстиль,2,3000,9
46E79FAF1F,AOS 0.5л,Бытовая химия,1,50,14
46E79FAF1F,Постельное белье 2-х сп. Венера,Текстиль,2,3000,7
0EA11F874E,Полотенце Венера 60*60,Текстиль,1,300,8
EE6CAC6F42,Кастрюля 5л Tefal,Посуда,3,3000,14
EE6CAC6F42,Кастрюля 5л Tefal,Посуда,3,3000,12
1BA49AB1A8,Йогурница ML-5 Bosh,Посуда,3,4000,4
4707D76343,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,23
4707D76343,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,11
FE80DD54AB,Полотенце Венера 60*60,Текстиль,1,300,24
DB80517FC8,Кастрюля 5л Tefal,Посуда,2,3000,13
DB80517FC8,Кастрюля 3л Tefal,Посуда,3,2500,21
AB59DBCD30,Полотенце Венера 80*120,Текстиль,2,500,20
AB59DBCD30,Миксер MP-30 Bosh,Посуда,1,2000,1
AB59DBCD30,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,7
3562A4EE9F,Сковорода 25см Tefal,Посуда,3,2000,2
3562A4EE9F,Полотенце Венера 60*60,Текстиль,3,300,14
3562A4EE9F,Кастрюля 5л Tefal,Посуда,3,3000,10
D2BB156D05,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,1
D2BB156D05,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,25
D2BB156D05,Сковорода 25см Tefal,Посуда,1,2000,14
