doc_id,item,category,amount,price,discount
53945A4C23,Миксер MP-30 Bosh,Посуда,2,2000,25
53945A4C23,Постельное белье 1.5 сп. Венера,Текстиль,3,2500,7
53945A4C23,Полотенце Венера 80*120,Текстиль,2,500,17
A752A877D2,Блинница Tefal,Посуда,3,1500,22
A752A877D2,Кастрюля 3л Tefal,Посуда,3,2500,24
A752A877D2,Постельное белье 2-х сп. Венера,Текстиль,2,3000,21
1C8F3E916C,Постельное белье 2-х сп. Венера,Текстиль,1,3000,5
1C8F3E916C,AOS 1л,Бытовая химия,1,100,10
D6B03F02FC,Блинница Tefal,Посуда,2,1500,23
02B0F54008,Постельное белье 2-х сп. Венера,Текстиль,2,3000,14
02B0F54008,Сковорода 25см Tefal,Посуда,1,2000,6
1D66BE35B7,Кастрюля 5л Tefal,Посуда,1,3000,24
1D66BE35B7,Постельное белье 2-х сп. Венера,Текстиль,1,3000,19
95251F9F2F,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,17
95251F9F2F,Полотенце Венера 60*60,Текстиль,3,300,14
95251F9F2F,Постельное белье 1.5 сп. Венера,Текстиль,3,2500,8
DFC3438880,Постельное белье 2-х сп. Венера,Текстиль,1,3000,19
DFC3438880,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,10
DA4F427C78,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,9
DA4F427C78,Полотенце Венера 60*60,Текстиль,1,300,3
93B36D0F80,Йогурница ML-5 Bosh,Посуда,2,4000,21
93B36D0F80,Стиральный порошок БИОС 3кг,Бытовая химия,3,300,16
93B36D0F80,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,15
6CFDB47955,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,9
BFC427F6E0,Йогурница ML-5 Bosh,Посуда,3,4000,6
BFC427F6E0,AOS 0.5л,Бытовая химия,2,50,6
BFC427F6E0,Стиральный порошок БИОС 3кг,Бытовая химия,1,300,22
78E090AC7A,Полотенце Венера 60*60,Текстиль,3,300,1
78E090AC7A,Полотенце Венера 80*120,Текстиль,2,500,24
78E090AC7A,Полотенце Венера 80*120,Текстиль,2,500,10
C07EC0EFD8,Полотенце Венера 80*120,Текстиль,3,500,13
76AB038AD0,Постельное белье 2-х сп. Венера,Текстиль,1,3000,18
