doc_id,item,category,amount,price,discount
73E19A83A6,Полотенце Венера 60*60,Текстиль,1,300,5
30190FABFC,Кастрюля 3л Tefal,Посуда,3,2500,1
30190FABFC,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,14
369C950FA4,AOS 1л,Бытовая химия,2,100,12
369C950FA4,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,21
369C950FA4,Полотенце Венера 60*60,Текстиль,3,300,3
1F22987043,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,17
1F22987043,AOS 0.5л,Бытовая химия,2,50,13
A918732CEE,Миксер MP-30 Bosh,Посуда,1,2000,9
A918732CEE,Кастрюля 5л Tefal,Посуда,2,3000,5
A918732CEE,Миксер MP-30 Bosh,Посуда,1,2000,19
7038298F66,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,13
7038298F66,Йогурница ML-5 Bosh,Посуда,2,4000,22
7038298F66,Сковорода 25см Tefal,Посуда,3,2000,21
0B64F753F2,Постельное белье 2-х сп. Венера,Текстиль,1,3000,10
56FA207A31,Кастрюля 3л Tefal,Посуда,2,2500,7
56FA207A31,Постельное белье 2-х сп. Венера,Текстиль,1,3000,0
CE07E444D2,Блинница Tefal,Посуда,3,1500,14
0088EA3580,AOS 0.5л,Бытовая химия,3,50,22
0088EA3580,Полотенце Венера 80*120,Текстиль,2,500,25
D675C4941D,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,14
D675C4941D,Постельное белье 2-х сп. Венера,Текстиль,2,3000,16
D675C4941D,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,9
2CD51D73C7,Кастрюля 5л Tefal,Посуда,2,3000,13
2CD51D73C7,Йогурница ML-5 Bosh,Посуда,1,4000,6
2CD51D73C7,Кастрюля 3л Tefal,Посуда,1,2500,24
38E909DDE4,Сковорода 25см Tefal,Посуда,1,2000,8
38E909DDE4,AOS 1л,Бытовая химия,3,100,17
D9BD005AEA,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,2
D9BD005AEA,Полотенце Венера 60*60,Текстиль,2,300,22
D9BD005AEA,Миксер MP-30 Bosh,Посуда,1,2000,18
