doc_id,item,category,amount,price,discount
0E7D570201,Сковорода 25см Tefal,Посуда,1,2000,2
0E7D570201,Полотенце Венера 80*120,Текстиль,2,500,24
0E7D570201,AOS 1л,Бытовая химия,2,100,23
2F01268F21,Полотенце Венера 80*120,Текстиль,2,500,21
2F01268F21,AOS 1л,Бытовая химия,3,100,6
2F01268F21,Постельное белье 1.5 сп. Венера,Текстиль,3,2500,14
3817700591,Кастрюля 3л Tefal,Посуда,1,2500,6
3817700591,Полотенце Венера 60*60,Текстиль,3,300,6
3817700591,Сковорода 28см Tefal,Посуда,2,2500,2
A001494D6E,AOS 0.5л,Бытовая химия,1,50,5
A001494D6E,Йогурница ML-5 Bosh,Посуда,3,4000,22
8571DAE8F8,Миксер MP-30 Bosh,Посуда,1,2000,24
8571DAE8F8,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,1
8571DAE8F8,Полотенце Венера 80*120,Текстиль,2,500,1
195588C171,Стиральный порошок БИОС 5 кг,Бытовая химия,2,400,15
D776295E42,Постельное белье 2-х сп. Венера,Текстиль,3,3000,2
D776295E42,Миксер MP-30 Bosh,Посуда,3,2000,3
B73AE22F21,AOS 0.5л,Бытовая химия,2,50,6
45D62A315C,AOS 0.5л,Бытовая химия,1,50,6
8C7414BE10,Блинница Tefal,Посуда,2,1500,15
8C7414BE10,AOS 1л,Бытовая химия,3,100,18
334242DC68,Миксер MP-30 Bosh,Посуда,3,2000,18
334242DC68,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,22
