doc_id,item,category,amount,price,discount
63492C299D,AOS 1л,Бытовая химия,2,100,8
63492C299D,Блинница Tefal,Посуда,2,1500,12
18C8B2C9F3,Миксер MP-30 Bosh,Посуда,1,2000,7
18C8B2C9F3,Блинница Tefal,Посуда,3,1500,25
06492AFA9E,Сковорода 25см Tefal,Посуда,3,2000,1
B49400A283,AOS 0.5л,Бытовая химия,1,50,14
6C1F9D62EF,Сковорода 25см Tefal,Посуда,2,2000,19
6C1F9D62EF,Постельное белье 2-х сп. Венера,Текстиль,1,3000,11
C02B5F2417,Стиральный порошок БИОС 3кг,Бытовая химия,2,300,20
C02B5F2417,Сковорода 28см Tefal,Посуда,2,2500,6
1B9AEC85A8,Полотенце Венера 60*60,Текстиль,3,300,20
1B9AEC85A8,Сковорода 28см Tefal,Посуда,2,2500,18
1B9AEC85A8,AOS 0.5л,Бытовая химия,1,50,21
CD5B4E5D0B,AOS 0.5л,Бытовая химия,3,50,14
99A2759017,AOS 0.5л,Бытовая химия,3,50,7
99A2759017,AOS 0.5л,Бытовая химия,3,50,12
99A2759017,Полотенце Венера 80*120,Текстиль,1,500,14
47CA224EA0,Полотенце Венера 60*60,Текстиль,2,300,20
47CA224EA0,Кастрюля 5л Tefal,Посуда,2,3000,24
47CA224EA0,AOS 0.5л,Бытовая химия,2,50,7
FA515C1C77,Полотенце Венера 60*60,Текстиль,2,300,25
FA515C1C77,Кастрюля 5л Tefal,Посуда,3,3000,20
FA515C1C77,Кастрюля 5л Tefal,Посуда,1,3000,8
DC46B4213E,AOS 0.5л,Бытовая химия,2,50,20
47C6F71601,Стиральный порошок БИОС 3кг,Бытовая химия,2,300,16
42615DAA55,AOS 1л,Бытовая химия,3,100,1
