doc_id,item,category,amount,price,discount
0E19395AFD,Постельное белье 2-х сп. Венера,Текстиль,1,3000,8
700C35BA94,Йогурница ML-5 Bosh,Посуда,3,4000,4
700C35BA94,AOS 1л,Бытовая химия,1,100,9
700C35BA94,Блинница Tefal,Посуда,2,1500,14
F28AD2FB0A,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,7
F28AD2FB0A,Полотенце Венера 60*60,Текстиль,3,300,16
F28AD2FB0A,Кастрюля 5л Tefal,Посуда,2,3000,15
161653BB23,AOS 1л,Бытовая химия,3,100,21
04E3E46E9C,Йогурница ML-5 Bosh,Посуда,1,4000,10
04E3E46E9C,Йогурница ML-5 Bosh,Посуда,3,4000,4
B925839239,AOS 1л,Бытовая химия,3,100,21
B925839239,Постельное белье 2-х сп. Венера,Текстиль,2,3000,1
B925839239,AOS 1л,Бытовая химия,2,100,5
BFF3BB019C,AOS 1л,Бытовая химия,3,100,24
BFF3BB019C,AOS 1л,Бытовая химия,2,100,1
BFF3BB019C,Постельное белье 1.5 сп. Венера,Текстиль,2,2500,17
382625D512,Йогурница ML-5 Bosh,Посуда,3,4000,8
382625D512,Кастрюля 5л Tefal,Посуда,2,3000,24
382625D512,Кастрюля 3л Tefal,Посуда,3,2500,4
8A93D075A1,Стиральный порошок БИОС 3кг,Бытовая химия,3,300,0
8A93D075A1,Полотенце Венера 60*60,Текстиль,1,300,9
1F948CD09C,Миксер MP-30 Bosh,Посуда,2,2000,25
1F948CD09C,Кастрюля 3л Tefal,Посуда,2,2500,15
A8196DA59D,Полотенце Венера 80*120,Текстиль,1,500,18
A8196DA59D,Постельное белье 1.5 сп. Венера,Текстиль,3,2500,8
A8196DA59D,Йогурница ML-5 Bosh,Посуда,3,4000,15
81B4EE9B6F,Постельное белье 2-х сп. Венера,Текстиль,1,3000,11
81B4EE9B6F,Постельное белье 1.5 сп. Венера,Текстиль,1,2500,13
BC8D7E8AA8,Полотенце Венера 80*120,Текстиль,3,500,3
2F9456B7A4,AOS 0.5л,Бытовая химия,1,50,13
