doc_id,item,category,amount,price,discount
96E51B6526,AOS 0.5л,Бытовая химия,2,50,23
A679F28D35,AOS 0.5л,Бытовая химия,3,50,20
BA06EEA57C,Полотенце Венера 60*60,Текстиль,1,300,25
444C62DD71,Стиральный порошок БИОС 3кг,Бытовая химия,1,300,4
0E361EE61E,Постельное белье 2-х сп. Венера,Текстиль,2,3000,2
0E361EE61E,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,0
C3DF162A95,Постельное белье 2-х сп. Венера,Текстиль,1,3000,7
680604C0CD,Стиральный порошок БИОС 5 кг,Бытовая химия,1,400,14
680604C0CD,Кастрюля 3л Tefal,Посуда,2,2500,17
7EC96C9837,Полотенце Венера 60*60,Текстиль,3,300,14
6970A5BA7F,Стиральный порошок БИОС 3кг,Бытовая химия,1,300,2
6970A5BA7F,Йогурница ML-5 Bosh,Посуда,3,4000,7
6970A5BA7F,Кастрюля 3л Tefal,Посуда,3,2500,19
BD1283EB02,Полотенце Венера 80*120,Текстиль,3,500,20
